,Adjusted odd's ratio,95 % Confidence Interval,P value
age,1.05,0.97-1.14,0.21
sex,0.55,0.11-2.86,0.48
HLOS,0.98,0.93-1.03,0.35
NIHSS,0.9,0.78-1.03,0.12
tPA_0_1,3.16,0.52-19.17,0.21
EVT_0_1,0.62,0.04-10.47,0.74
HTN_0_1,1.87,0.46-7.54,0.38
DM_0_1,2.43,0.72-8.18,0.15
Dyslipidemia_0_1,1.81,0.52-6.29,0.35
Af_0_1,1.62,0.35-7.45,0.54
smoking_Y_N_Q,1.43,0.66-3.11,0.36
LDL,1.02,0.98-1.07,0.26
cholesterol,0.97,0.93-1.00,0.08
TG,1.0,1.00-1.01,0.56
Cre,1.04,0.84-1.29,0.73
SGPT,0.94,0.89-1.00,0.04*
HbA1c,1.02,0.75-1.37,0.92
MRS,1.62,1.11-2.37,0.01*
