,Adjusted odd's ratio,95 % Confidence Interval,P value
age,0.97,0.89-1.04,0.39
sex,1.93,0.86-4.33,0.11
HLOS,1.01,0.98-1.04,0.45
NIHSS,0.98,0.92-1.05,0.57
tPA_0_1,0.63,0.17-2.38,0.50
EVT_0_1,0.58,0.14-2.48,0.46
HTN_0_1,0.87,0.40-1.88,0.72
DM_0_1,1.4,0.63-3.09,0.41
Dyslipidemia_0_1,0.95,0.43-2.09,0.90
Af_0_1,1.0,0.39-2.55,0.99
smoking_Y_N_Q,1.64,0.96-2.79,0.07
LDL,0.99,0.96-1.01,0.27
cholesterol,1.0,0.98-1.02,0.78
TG,1.0,0.99-1.00,0.29
Cre,0.7,0.39-1.27,0.24
SGPT,0.99,0.97-1.01,0.51
HbA1c,1.16,0.96-1.41,0.13
MRS,1.06,0.81-1.38,0.70
