,Adjusted odd's ratio,95 % Confidence Interval,P value
age,1.13,0.91-1.39,0.28
sex,0.33,0.05-2.20,0.25
HLOS,1.03,0.97-1.09,0.31
NIHSS,1.09,0.96-1.24,0.19
tPA_0_1,0.0,0.00-inf,0.99
EVT_0_1,6.67,0.22-206.62,0.28
HTN_0_1,1.01,0.09-10.91,1.00
DM_0_1,1.4,0.21-9.51,0.73
Dyslipidemia_0_1,9.61,1.06-86.89,0.04*
Af_0_1,1.28,0.18-9.04,0.80
smoking_Y_N_Q,2.87,0.76-10.78,0.12
LDL,0.98,0.91-1.05,0.50
cholesterol,0.99,0.93-1.05,0.68
TG,1.0,0.97-1.02,0.84
Cre,0.11,0.01-1.96,0.13
SGPT,0.97,0.88-1.06,0.47
HbA1c,1.21,0.71-2.05,0.49
MRS,0.45,0.22-0.92,0.03*
