,Adjusted odd's ratio,95 % Confidence Interval,P value
age,1.01,0.97-1.05,0.65
HLOS,1.0,0.96-1.04,1.00
NIHSS,1.0,0.92-1.08,0.95
tPA_0_1,0.39,0.04-3.44,0.40
EVT_0_1,1.26,0.19-8.60,0.81
HTN_0_1,0.54,0.21-1.41,0.21
DM_0_1,0.98,0.32-3.01,0.97
Dyslipidemia_0_1,1.27,0.47-3.42,0.64
Af_0_1,1.24,0.40-3.87,0.71
smoking_Y_N_Q,0.69,0.08-6.25,0.74
LDL,1.01,0.98-1.05,0.41
cholesterol,0.97,0.95-1.00,0.06
TG,1.0,1.00-1.01,0.38
Cre,0.53,0.18-1.59,0.26
SGPT,1.0,0.98-1.01,0.81
HbA1c,1.18,0.89-1.55,0.25
MRS,0.87,0.61-1.23,0.43
