,Adjusted odd's ratio,95 % Confidence Interval,P value
age,0.99,0.96-1.02,0.47
HLOS,1.0,0.98-1.03,0.91
NIHSS,0.96,0.90-1.03,0.27
tPA_0_1,1.44,0.44-4.72,0.55
EVT_0_1,0.59,0.13-2.58,0.48
HTN_0_1,2.22,0.88-5.58,0.09
DM_0_1,2.04,0.97-4.33,0.06
Dyslipidemia_0_1,1.31,0.62-2.75,0.48
Af_0_1,0.96,0.40-2.32,0.93
smoking_Y_N_Q,1.76,1.20-2.59,<0.01*
LDL,0.98,0.96-1.00,0.09
cholesterol,1.01,0.99-1.03,0.42
TG,1.0,0.99-1.00,0.17
Cre,0.98,0.81-1.19,0.86
SGPT,0.96,0.93-1.00,0.03*
HbA1c,1.11,0.92-1.33,0.28
MRS,1.24,0.98-1.59,0.08
