,Adjusted odd's ratio,95 % Confidence Interval,P value
age,0.99,0.97-1.02,0.67
sex,1.25,0.68-2.29,0.47
HLOS,1.0,0.98-1.02,0.97
NIHSS,0.98,0.93-1.03,0.34
tPA_0_1,0.91,0.33-2.53,0.86
EVT_0_1,0.82,0.26-2.57,0.73
HTN_0_1,1.19,0.63-2.23,0.59
DM_0_1,1.7,0.94-3.11,0.08
Dyslipidemia_0_1,1.23,0.69-2.22,0.48
Af_0_1,0.97,0.49-1.92,0.94
smoking_Y_N_Q,1.68,1.15-2.45,<0.01*
LDL,0.99,0.97-1.01,0.44
cholesterol,1.0,0.98-1.01,0.62
TG,1.0,0.99-1.00,0.45
Cre,0.95,0.78-1.14,0.57
SGPT,0.98,0.96-1.00,0.10
HbA1c,1.12,0.96-1.29,0.14
MRS,1.12,0.92-1.36,0.27
