iter	Passed	Remaining
0	2	1714
1	3	1247
2	4	1066
3	4	969
4	5	930
5	6	880
6	7	833
7	8	842
8	9	829
9	10	815
10	11	813
11	12	805
12	13	792
13	14	815
14	15	802
15	16	792
16	17	783
17	18	797
18	19	796
19	20	790
20	21	799
21	22	793
22	23	788
23	24	783
24	25	775
25	25	765
26	26	762
27	27	760
28	28	754
29	30	775
30	31	772
31	31	766
32	32	759
33	33	761
34	34	757
35	35	750
36	36	743
37	37	743
38	38	741
39	38	737
40	39	731
41	40	729
42	41	724
43	41	719
44	42	718
45	43	716
46	44	717
47	45	713
48	46	718
49	47	716
50	48	712
51	49	708
52	50	707
53	50	703
54	51	701
55	53	705
56	54	704
57	54	701
58	55	698
59	56	698
60	57	696
61	58	693
62	59	694
63	60	693
64	61	692
65	62	698
66	63	697
67	64	694
68	67	713
69	68	713
70	69	712
71	70	716
72	71	716
73	72	715
74	74	721
75	78	749
76	80	753
77	81	751
78	82	749
79	85	766
80	86	765
81	88	776
82	89	774
83	91	783
84	92	781
85	93	778
86	94	777
87	95	775
88	96	773
89	97	770
90	98	768
91	99	766
92	102	776
93	102	773
94	103	769
95	104	766
96	105	766
97	106	764
98	107	761
99	110	770
100	111	769
101	112	767
102	114	775
103	115	775
104	118	785
105	120	789
106	121	788
107	122	786
108	123	783
109	124	781
110	125	777
111	127	783
112	128	781
113	129	778
114	130	776
115	131	773
116	131	770
117	132	767
118	133	766
119	134	763
120	137	771
121	139	773
122	140	770
123	140	768
124	141	765
125	144	771
126	145	770
127	146	768
128	147	766
129	148	767
130	149	765
131	152	772
132	153	769
133	154	766
134	155	768
135	156	764
136	157	762
137	158	758
138	159	757
139	160	755
140	161	752
141	162	752
142	163	750
143	164	747
144	167	756
145	168	754
146	170	755
147	171	753
148	171	751
149	172	749
150	173	746
151	174	744
152	175	743
153	176	741
154	177	739
155	178	737
156	179	735
157	180	733
158	181	731
159	182	729
160	183	727
161	185	731
162	186	729
163	187	727
164	188	725
165	189	722
166	189	720
167	191	719
168	192	717
169	192	714
170	193	712
171	195	713
172	196	711
173	199	717
174	200	715
175	201	713
176	202	711
177	203	709
178	204	707
179	205	706
180	206	704
181	206	702
182	207	700
183	208	698
184	209	696
185	210	696
186	211	694
187	213	694
188	214	694
189	215	692
190	217	692
191	217	690
192	218	688
193	219	686
194	220	684
195	221	683
196	222	681
197	223	680
198	225	680
199	227	683
200	228	681
201	229	679
202	230	678
203	231	676
204	232	675
205	234	675
206	235	673
207	236	672
208	237	670
209	238	668
210	238	666
211	240	666
212	241	665
213	242	663
214	243	661
215	244	660
216	245	658
217	245	656
218	247	657
219	249	656
220	249	654
221	250	653
222	252	652
223	253	651
224	254	649
225	256	651
226	258	652
227	259	650
228	260	649
229	261	647
230	262	645
231	262	643
232	264	643
233	265	641
234	266	640
235	267	639
236	269	639
237	270	638
238	271	637
239	272	635
240	273	633
241	274	631
242	274	630
243	275	628
244	276	626
245	277	625
246	278	624
247	279	622
248	280	620
249	281	619
250	282	617
251	283	615
252	284	615
253	285	613
254	286	612
255	288	613
256	289	611
257	290	609
258	291	607
259	292	606
260	292	604
261	293	602
262	294	602
263	295	600
264	296	598
265	297	596
266	298	595
267	299	593
268	299	591
269	300	590
270	301	589
271	302	587
272	303	586
273	305	586
274	306	584
275	307	582
276	309	583
277	311	585
278	312	584
279	313	582
280	314	581
281	316	580
282	318	582
283	319	580
284	320	579
285	321	577
286	322	575
287	323	574
288	324	573
289	324	571
290	326	571
291	328	570
292	328	569
293	329	567
294	330	565
295	331	564
296	332	562
297	333	561
298	334	559
299	335	558
300	335	556
301	336	555
302	337	553
303	338	551
304	339	550
305	340	549
306	341	547
307	342	547
308	343	545
309	344	544
310	346	544
311	347	543
312	348	542
313	349	541
314	350	540
315	352	539
316	353	538
317	354	537
318	355	536
319	356	535
320	357	533
321	358	532
322	359	531
323	361	530
324	362	529
325	364	529
326	365	528
327	366	527
328	367	526
329	368	525
330	369	524
331	370	522
332	372	521
333	373	521
334	374	520
335	376	520
336	377	519
337	378	517
338	380	517
339	381	516
340	382	514
341	384	515
342	385	514
343	387	513
344	388	512
345	390	512
346	391	511
347	393	510
348	394	509
349	395	508
350	396	507
351	398	507
352	399	505
353	400	504
354	401	503
355	402	502
356	404	501
357	405	500
358	406	499
359	407	497
360	409	497
361	410	496
362	411	495
363	412	494
364	413	492
365	414	491
366	418	493
367	420	493
368	421	492
369	422	491
370	423	490
371	425	489
372	428	490
373	429	488
374	430	487
375	431	486
376	432	485
377	433	483
378	434	482
379	435	481
380	436	480
381	438	479
382	439	478
383	440	477
384	442	476
385	443	475
386	444	473
387	445	473
388	446	472
389	447	470
390	449	469
391	450	468
392	451	467
393	452	466
394	453	464
395	455	464
396	458	465
397	459	463
398	461	463
399	462	462
400	463	461
401	464	459
402	465	458
403	466	457
404	467	455
405	468	454
406	469	453
407	470	452
408	471	450
409	473	450
410	474	449
411	475	447
412	476	446
413	478	445
414	481	446
415	481	444
416	482	443
417	483	442
418	484	440
419	486	440
420	488	439
421	489	438
422	490	437
423	491	435
424	492	434
425	493	433
426	494	432
427	496	431
428	496	429
429	497	428
430	498	427
431	499	425
432	501	424
433	502	423
434	503	422
435	504	421
436	505	420
437	506	418
438	508	417
439	509	416
440	511	416
441	512	415
442	513	413
443	514	412
444	516	412
445	518	411
446	519	410
447	520	408
448	522	408
449	523	406
450	524	405
451	525	404
452	525	402
453	527	401
454	527	400
455	528	398
456	529	397
457	530	396
458	531	395
459	532	393
460	533	392
461	535	391
462	536	390
463	538	389
464	539	388
465	540	387
466	541	386
467	542	384
468	543	383
469	544	382
470	545	381
471	546	379
472	548	378
473	549	377
474	552	377
475	553	376
476	555	376
477	558	375
478	560	375
479	562	375
480	563	373
481	566	373
482	567	372
483	569	372
484	573	372
485	574	371
486	576	370
487	577	369
488	579	368
489	581	367
490	582	366
491	583	365
492	587	365
493	588	364
494	590	363
495	591	362
496	592	361
497	597	362
498	601	362
499	602	361
500	604	360
501	606	360
502	608	359
503	609	358
504	617	360
505	619	359
506	623	360
507	624	358
508	625	357
509	626	356
510	627	354
511	628	353
512	628	351
513	630	350
514	631	349
515	632	348
516	633	346
517	634	345
518	635	344
519	636	342
520	637	341
521	638	340
522	639	338
523	640	337
524	641	336
525	642	334
526	643	333
527	645	332
528	647	331
529	648	330
530	650	329
531	651	328
532	660	331
533	662	329
534	663	328
535	664	327
536	673	329
537	674	328
538	676	327
539	677	326
540	678	324
541	688	327
542	691	327
543	692	325
544	693	324
545	697	324
546	701	324
547	705	324
548	707	323
549	708	321
550	709	320
551	710	319
552	711	317
553	712	316
554	713	315
555	718	315
556	721	314
557	728	315
558	729	314
559	730	313
560	732	311
561	733	310
562	733	308
563	735	307
