experiment,feature_select_config,balance,model_config,model,state,run,acc,recall,precision,auc,f1,selected_features,data_path
exp1,"{'method': 'knn', 'n_features_to_select': 'auto', 'direction': 'backward', 'n_neighbors': 5}",smote,"{'C': 1.0, 'kernal': 'linear', 'max_iter': 3000}",svm_linear,train,1,0.683,0.859,0.635,0.319,0.731,"['Af(0/1)', 'smoking(Y/N/Q)', 'LDL ', 'cholesterol', 'TG', 'Cre', 'SGPT', 'HbA1c', 'MRS']",raw_data/age_below_65.csv
exp1,"{'method': 'knn', 'n_features_to_select': 'auto', 'direction': 'backward', 'n_neighbors': 5}",smote,"{'C': 1.0, 'kernal': 'linear', 'max_iter': 3000}",svm_linear,test,1,0.522,0.556,0.179,0.453,0.27,"['Af(0/1)', 'smoking(Y/N/Q)', 'LDL ', 'cholesterol', 'TG', 'Cre', 'SGPT', 'HbA1c', 'MRS']",raw_data/age_below_65.csv
exp1,"{'method': 'knn', 'n_features_to_select': 'auto', 'direction': 'backward', 'n_neighbors': 5}",smote,"{'C': 1.0, 'kernal': 'poly', 'max_iter': 3000}",svm_linear,train,1,0.683,0.859,0.635,0.348,0.731,"['Af(0/1)', 'smoking(Y/N/Q)', 'LDL ', 'cholesterol', 'TG', 'Cre', 'SGPT', 'HbA1c', 'MRS']",raw_data/age_below_65.csv
exp1,"{'method': 'knn', 'n_features_to_select': 'auto', 'direction': 'backward', 'n_neighbors': 5}",smote,"{'C': 1.0, 'kernal': 'poly', 'max_iter': 3000}",svm_linear,test,1,0.522,0.556,0.179,0.439,0.27,"['Af(0/1)', 'smoking(Y/N/Q)', 'LDL ', 'cholesterol', 'TG', 'Cre', 'SGPT', 'HbA1c', 'MRS']",raw_data/age_below_65.csv
exp1,"{'method': 'knn', 'n_features_to_select': 'auto', 'direction': 'backward', 'n_neighbors': 5}",smote,"{'C': 1.0, 'kernal': 'rbf', 'max_iter': 3000}",svm_linear,train,1,0.683,0.859,0.635,0.681,0.731,"['Af(0/1)', 'smoking(Y/N/Q)', 'LDL ', 'cholesterol', 'TG', 'Cre', 'SGPT', 'HbA1c', 'MRS']",raw_data/age_below_65.csv
exp1,"{'method': 'knn', 'n_features_to_select': 'auto', 'direction': 'backward', 'n_neighbors': 5}",smote,"{'C': 1.0, 'kernal': 'rbf', 'max_iter': 3000}",svm_linear,test,1,0.522,0.556,0.179,0.546,0.27,"['Af(0/1)', 'smoking(Y/N/Q)', 'LDL ', 'cholesterol', 'TG', 'Cre', 'SGPT', 'HbA1c', 'MRS']",raw_data/age_below_65.csv
exp1,"{'method': 'knn', 'n_features_to_select': 'auto', 'direction': 'backward', 'n_neighbors': 5}",smote,"{'C': 1.0, 'kernal': 'sigmoid', 'max_iter': 3000}",svm_linear,train,1,0.683,0.859,0.635,0.318,0.731,"['Af(0/1)', 'smoking(Y/N/Q)', 'LDL ', 'cholesterol', 'TG', 'Cre', 'SGPT', 'HbA1c', 'MRS']",raw_data/age_below_65.csv
exp1,"{'method': 'knn', 'n_features_to_select': 'auto', 'direction': 'backward', 'n_neighbors': 5}",smote,"{'C': 1.0, 'kernal': 'sigmoid', 'max_iter': 3000}",svm_linear,test,1,0.522,0.556,0.179,0.455,0.27,"['Af(0/1)', 'smoking(Y/N/Q)', 'LDL ', 'cholesterol', 'TG', 'Cre', 'SGPT', 'HbA1c', 'MRS']",raw_data/age_below_65.csv
exp1,"{'method': 'knn', 'n_features_to_select': 'auto', 'direction': 'backward', 'n_neighbors': 5}",smote,"{'criterion': 'gini', 'max_depth': 5, 'splitter': 'best'}",decision_tree,train,1,0.975,0.989,0.961,0.993,0.975,"['Af(0/1)', 'smoking(Y/N/Q)', 'LDL ', 'cholesterol', 'TG', 'Cre', 'SGPT', 'HbA1c', 'MRS']",raw_data/age_below_65.csv
exp1,"{'method': 'knn', 'n_features_to_select': 'auto', 'direction': 'backward', 'n_neighbors': 5}",smote,"{'criterion': 'gini', 'max_depth': 5, 'splitter': 'best'}",decision_tree,test,1,0.814,0.111,0.286,0.554,0.16,"['Af(0/1)', 'smoking(Y/N/Q)', 'LDL ', 'cholesterol', 'TG', 'Cre', 'SGPT', 'HbA1c', 'MRS']",raw_data/age_below_65.csv
exp2,"{'method': 'knn', 'n_features_to_select': 'auto', 'direction': 'forward', 'n_neighbors': 5}",smote,"{'C': 1.0, 'kernal': 'linear', 'max_iter': 3000}",svm_linear,train,1,0.936,0.995,0.891,0.968,0.94,"['age', 'sex', 'HLOS', 'NIHSS', 'tPA(0/1)', 'EVT(0/1)', 'HTN(0/1)', 'DM(0/1)', 'Dyslipidemia(0/1)']",raw_data/age_below_65.csv
exp2,"{'method': 'knn', 'n_features_to_select': 'auto', 'direction': 'forward', 'n_neighbors': 5}",smote,"{'C': 1.0, 'kernal': 'linear', 'max_iter': 3000}",svm_linear,test,1,0.752,0.056,0.083,0.546,0.067,"['age', 'sex', 'HLOS', 'NIHSS', 'tPA(0/1)', 'EVT(0/1)', 'HTN(0/1)', 'DM(0/1)', 'Dyslipidemia(0/1)']",raw_data/age_below_65.csv
